urn,name,phase,ks2_expected_pct,ks2_higher_pct,ks2_reading_avg,ks2_maths_avg,p8,a8,ebacc_aps,eng_maths_5plus_pct,year,source_url
144737,Abbot Alphege Academy,Primary,78.0,0.0,109.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
144762,Somerdale Educate Together Primary Academy,Primary,43.0,0.0,105.0,101.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
144779,Badocks Wood E-ACT Academy,Primary,73.0,6.0,106.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
144830,Midsomer Norton Primary School,Primary,66.0,8.0,105.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
144863,Victoria Park Primary School,Primary,53.0,5.0,106.0,102.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
144864,Headley Park Primary School,Primary,67.0,2.0,105.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
144880,Perry Court E-ACT Academy,Primary,81.0,8.0,107.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
144892,Fonthill Primary Academy,Primary,38.0,0.0,99.0,101.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
145070,Farmborough Church Primary School,Primary,58.0,19.0,107.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
145320,Compass Point Primary School,Primary,61.0,6.0,105.0,102.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
