urn,attainment8,progress8,ebacc_aps,eng_maths_5plus_pct
112968,48.3,0.13,4.01,46.0
112969,50.2,-0.02,4.69,57.0
112970,43.8,-0.29,3.71,44.0
112989,45.5,-0.36,4.16,50.0
112991,40.5,-0.21,3.55,35.0
112996,50.2,-0.01,4.27,48.0
113003,29.2,,2.11,2.0
113004,48.9,,3.05,72.0
113009,37.4,,3.61,0.0
113010,54.1,,4.55,59.0
113017,65.8,,4.36,93.0
113019,,,,
113021,11.8,,0.64,25.0
113026,,,,
113028,55.3,,5.29,65.0
113031,,,,
113033,2.5,-1.69,0.23,0.0
113040,,,,
113044,7.2,-1.04,0.41,0.0
113502,42.6,-0.29,3.58,48.0
113503,44.7,0.0,3.76,37.0
113512,42.5,-0.17,3.7,31.0
113526,40.8,-0.49,3.44,34.0
113533,39.8,-0.3,3.04,24.0
113548,40.3,-0.33,3.37,32.0
113551,36.8,-0.8,3.01,23.0
113553,50.7,0.32,4.24,57.0
113567,46.1,,4.14,57.0
113571,,,,
113573,25.5,,2.56,0.0
113574,26.1,,2.13,0.0
113575,36.2,,2.67,0.0
113579,48.6,,4.11,38.0
113583,12.6,,0.94,0.0
113603,6.5,,0.49,9.0
113604,34.5,,3.16,29.0
113605,24.0,,2.13,20.0
113606,53.2,,3.77,51.0
113607,22.0,,0.89,0.0
113608,73.7,,6.49,92.0
113609,22.2,,1.87,0.0
113616,,,,
113619,18.3,,1.11,0.0
