urn,name,phase,type,la,postcode,admissions_policy,mat,pupils,age_low,age_high,sixth_form,ofsted_region,region,constituency,idaci_quintile,ofsted_grade,ofsted_date,ofsted_pub_date
109116,Bishop Road Primary School,Primary,Community School,Bristol,BS7 8LS,Not applicable,NULL,802,3,11,Does not have a sixth form,South West,South West,Bristol Central,1,1,07/11/2023,12/12/2023
109118,Blaise Primary and Nursery School,Primary,Community School,Bristol,BS10 7EJ,Not applicable,NULL,434,3,11,Does not have a sixth form,South West,South West,Bristol North West,5,Not judged,11/02/2025,13/03/2025
109130,Fair Furlong Primary School,Primary,Community School,Bristol,BS13 9HS,Not applicable,NULL,460,3,11,Does not have a sixth form,South West,South West,Bristol South,5,Not judged,14/01/2025,10/02/2025
109132,Whitehall Primary School,Primary,Community School,Bristol,BS5 9AT,Not applicable,NULL,620,5,11,Does not have a sixth form,South West,South West,Bristol East,4,2,19/03/2024,09/05/2024
109140,Avonmouth Church of England Primary School and Nursery,Primary,Voluntary Controlled School,Bristol,BS11 9LG,Not applicable,NULL,221,2,11,Does not have a sixth form,South West,South West,Bristol North West,4,2,15/11/2012,06/12/2012
109146,"St Johns Church of England Primary School, Clifton",Primary,Voluntary Controlled School,Bristol,BS8 2UH,Not applicable,NULL,466,5,11,Does not have a sixth form,South West,South West,Bristol Central,1,Not judged,13/05/2025,22/06/2025
109243,School of Christ The King Catholic Primary,Primary,Voluntary Aided School,Bristol,BS4 1HD,Not applicable,NULL,228,3,11,Does not have a sixth form,South West,South West,Bristol South,5,2,23/04/2024,23/05/2024
109244,Holy Cross RC Primary School,Primary,Voluntary Aided School,Bristol,BS3 1DB,Not applicable,NULL,177,4,11,Does not have a sixth form,South West,South West,Bristol South,5,2,16/05/2023,10/07/2023
109245,Ss Peter and Paul RC Primary School,Primary,Voluntary Aided School,Bristol,BS6 6HY,Not applicable,NULL,167,4,11,Does not have a sixth form,South West,South West,Bristol Central,3,2,28/02/2023,02/05/2023
109247,St Joseph's Catholic Primary School,Primary,Voluntary Aided School,Bristol,BS16 3QR,Not applicable,NULL,208,4,11,Does not have a sixth form,South West,South West,Bristol North East,4,2,22/05/2012,15/06/2012
109251,"Our Lady of the Rosary Catholic Primary School, Bristol",Primary,Voluntary Aided School,Bristol,BS11 0PA,Not applicable,NULL,212,4,11,Does not have a sixth form,South West,South West,Bristol North West,5,2,12/09/2023,09/10/2023
109254,St Bernadette Catholic Voluntary Aided Primary School,Primary,Voluntary Aided School,Bristol,BS14 9LP,Not applicable,NULL,261,3,11,Does not have a sixth form,South West,South West,Bristol South,4,2,05/06/2013,27/06/2013
109327,St Mary Redcliffe and Temple School,Secondary,Voluntary Aided School,Bristol,BS1 6RT,Non-selective,NULL,1778,11,18,Has a sixth form,South West,South West,Bristol Central,3,Not judged,28/01/2025,20/03/2025
